
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:58765        127.0.0.1:60836        TIME_WAIT       0
  TCP    127.0.0.1:58765        127.0.0.1:60837        TIME_WAIT       0
  TCP    127.0.0.1:58765        127.0.0.1:60841        TIME_WAIT       0
  TCP    127.0.0.1:58765        127.0.0.1:60858        ESTABLISHED     9928
  TCP    127.0.0.1:58765        127.0.0.1:60859        ESTABLISHED     9928
  TCP    127.0.0.1:58767        0.0.0.0:0              LISTENING       680
  TCP    127.0.0.1:58767        127.0.0.1:52732        ESTABLISHED     680
  TCP    127.0.0.1:58767        127.0.0.1:58775        ESTABLISHED     680
  TCP    127.0.0.1:58767        127.0.0.1:58778        ESTABLISHED     680
  TCP    127.0.0.1:58768        0.0.0.0:0              LISTENING       680
  TCP    127.0.0.1:58768        127.0.0.1:53856        TIME_WAIT       0
  TCP    127.0.0.1:58768        127.0.0.1:53860        TIME_WAIT       0
  TCP    127.0.0.1:58768        127.0.0.1:60842        TIME_WAIT       0
  TCP    127.0.0.1:58773        0.0.0.0:0              LISTENING       680
  TCP    127.0.0.1:58773        127.0.0.1:58777        ESTABLISHED     680
  TCP    127.0.0.1:58774        127.0.0.1:58765        ESTABLISHED     680
  TCP    127.0.0.1:58775        127.0.0.1:58767        ESTABLISHED     9928
  TCP    127.0.0.1:58777        127.0.0.1:58773        ESTABLISHED     9928
  TCP    127.0.0.1:58778        127.0.0.1:58767        ESTABLISHED     20296
  TCP    127.0.0.1:58801        127.0.0.1:58802        ESTABLISHED     25628
  TCP    127.0.0.1:58802        127.0.0.1:58801        ESTABLISHED     25628
  TCP    127.0.0.1:58804        127.0.0.1:9222         ESTABLISHED     3876
  TCP    127.0.0.1:60847        127.0.0.1:3306         TIME_WAIT       0
  TCP    127.0.0.1:60850        127.0.0.1:3306         TIME_WAIT       0
  TCP    127.0.0.1:60851        127.0.0.1:3306         TIME_WAIT       0
  TCP    127.0.0.1:60858        127.0.0.1:58765        ESTABLISHED     680
  TCP    127.0.0.1:60859        127.0.0.1:58765        ESTABLISHED     680
  TCP    192.168.1.7:139        0.0.0.0:0              LISTENING       4
  TCP    192.168.1.7:51012      173.45.77.90:443       CLOSE_WAIT      28504
  TCP    192.168.1.7:53429      4.213.25.242:443       ESTABLISHED     4496
  TCP    192.168.1.7:53488      192.168.1.4:8009       ESTABLISHED     15196
  TCP    192.168.1.7:53838      52.168.117.170:443     TIME_WAIT       0
  TCP    192.168.1.7:53855      34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.1.7:53857      34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.1.7:53865      34.54.84.110:443       TIME_WAIT       0
